Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
2.513619,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,1.0050000,0.30000,4.50000,-10.50000
2.563199,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,1.0000000,0.20000,4.40000,-10.50000
2.612999,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9990000,0.10000,4.40000,-10.40000
2.662540,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9980000,0.10000,4.50000,-10.60000
2.713008,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9980000,0.10000,4.50000,-10.50000
2.762715,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,1.0000000,0.20000,4.50000,-10.50000
2.812849,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9990000,0.30000,4.40000,-10.50000
2.862677,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9960000,0.10000,4.40000,-10.50000
2.913486,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.10000,4.40000,-10.60000
2.962276,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0100000,0.9970000,0.10000,4.30000,-10.60000
3.012427,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,0.10000,4.40000,-10.60000
3.064403,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0100000,0.9980000,0.10000,4.40000,-10.50000
3.111972,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9980000,0.20000,4.50000,-10.40000
3.161733,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0110000,0.9980000,0.10000,4.40000,-10.50000
3.211979,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9990000,0.20000,4.60000,-10.50000
3.261252,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0120000,0.9970000,0.20000,4.40000,-10.60000
3.310635,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
3.361196,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9970000,0.00000,4.40000,-10.50000
3.411121,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
3.463776,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9950000,0.10000,4.40000,-10.50000
3.510703,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.10000,4.40000,-10.50000
3.560228,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.10000,4.40000,-10.50000
3.610437,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9980000,0.20000,4.50000,-10.60000
3.660641,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.20000,4.50000,-10.70000
3.717464,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9980000,0.10000,4.50000,-10.60000
3.760121,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9970000,0.10000,4.50000,-10.50000
3.813661,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9990000,0.10000,4.40000,-10.60000
3.859849,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9970000,0.20000,4.40000,-10.60000
3.917451,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.20000,4.40000,-10.70000
3.959398,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9990000,0.10000,4.40000,-10.60000
4.008940,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.00000,4.40000,-10.60000
4.059261,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9950000,0.00000,4.40000,-10.60000
