Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
2.542172,-0.0000000,0.1220000,0.1220000,0.0020000,0.0120000,0.9960000,8.30000,-0.60000,-28.40000
2.595197,0.1220000,0.5490000,0.1220000,0.0040000,0.0130000,0.9970000,8.40000,-0.60000,-28.20000
2.643115,0.1830000,0.1220000,0.0610000,0.0070000,0.0050000,0.9950000,8.20000,-0.50000,-28.40000
2.691296,-0.0610000,-0.0000000,0.0610000,0.0030000,0.0110000,0.9950000,8.30000,-0.50000,-28.50000
2.746317,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.20000,-0.60000,-28.50000
2.790924,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9950000,8.10000,-0.50000,-28.30000
2.842593,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9960000,8.00000,-0.50000,-28.40000
2.890895,-0.0610000,-0.0610000,0.0610000,0.0030000,0.0110000,0.9960000,8.10000,-0.40000,-28.30000
2.940434,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9960000,8.20000,-0.50000,-28.30000
2.990687,-0.0000000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9960000,8.00000,-0.50000,-28.40000
3.042213,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.10000,-0.60000,-28.40000
3.090140,-0.1220000,-0.0610000,0.0000000,0.0030000,0.0120000,0.9960000,8.20000,-0.60000,-28.50000
3.139944,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9960000,8.20000,-0.70000,-28.40000
3.189952,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9950000,8.20000,-0.60000,-28.30000
3.239612,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.20000,-0.60000,-28.30000
3.289528,-0.0000000,-0.0610000,0.0610000,0.0020000,0.0110000,0.9960000,8.20000,-0.40000,-28.30000
3.340345,-0.0000000,-0.0610000,0.0000000,0.0030000,0.0120000,0.9950000,8.00000,-0.60000,-28.30000
3.389215,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9970000,8.10000,-0.50000,-28.40000
3.438978,-0.0000000,-0.0000000,0.0000000,0.0040000,0.0120000,0.9970000,8.10000,-0.60000,-28.30000
3.491579,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9950000,8.10000,-0.40000,-28.30000
3.539303,-0.0610000,-0.0000000,0.0610000,0.0020000,0.0120000,0.9960000,8.10000,-0.40000,-28.40000
3.588804,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0120000,0.9960000,8.20000,-0.40000,-28.30000
3.638809,-0.0610000,-0.0000000,0.0000000,0.0030000,0.0130000,0.9960000,8.00000,-0.40000,-28.40000
3.688598,-0.0610000,-0.0610000,0.0610000,0.0020000,0.0120000,0.9950000,8.10000,-0.40000,-28.40000
3.738156,-0.0000000,-0.0000000,0.0610000,0.0020000,0.0110000,0.9950000,8.10000,-0.50000,-28.20000
3.788239,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.10000,-0.50000,-28.30000
3.837986,-0.0610000,-0.0610000,0.0000000,0.0030000,0.0130000,0.9950000,8.20000,-0.40000,-28.30000
3.888153,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.20000,-0.40000,-28.30000
3.938402,-0.1220000,-0.1220000,0.0610000,0.0030000,0.0120000,0.9950000,8.30000,-0.50000,-28.30000
3.989162,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0130000,0.9950000,8.10000,-0.50000,-28.30000
4.037301,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0130000,0.9950000,8.20000,-0.40000,-28.40000
4.088135,-0.0000000,-0.0610000,0.0000000,0.0030000,0.0120000,0.9950000,8.00000,-0.50000,-28.30000
4.137249,-0.1220000,-0.1220000,0.0000000,0.0020000,0.0120000,0.9960000,8.10000,-0.40000,-28.40000
